xxx	xxx	xxx	Куш оолдары дег уязындан ужуп үнүпкеннер.
			Чаштар удуп дыштанзыннар.
13	14	i	Башкым эңмежок номнар номчаан.
13	14	ii	Мен хөй кижилерни көрдүм.
14	15	i	Ном эккелдим. 
14	15	ii	Номну эккелдим.
15	18	i	Мен Кызылга чурттап турган мен. 
15	18	ii	Бо институттуң директору Мерген-дир.
15	18	v	Мен оон чагаа алдым.
16	18	vi	Ол кижи кино барыксап турар.
16	19	i	Шай аяктан ажа берди. 
16	19	i	Олар ырак черден чедип келгеннер. 
16	19	ii	Мартан-оол март айдан сентябрь айга чедир Кызылга чурттап турган. 
16	19	iii	Дамдыдан далай бүдер. 
16	19	i	Ол менден чагаа алган. 
16	19	i	Идиимни хөмден кылган. 
16	19	iv	Ол кижи менден улуг. 
16	19	v	Эжимден меңээ байыр чедирген болду.
16	19	vi	Карандаштан берем. 
16	19	vi	Шайдан ижер мен. 
16	19	vi	Ашкадан берем.
16	19	vii	Орус дылдан өске кандыг дылдар билир сен?
17	20	i	Мен ном номчудум.
17	20	i	Мен номну номчудум.
17	20	ii	Мен бо номну номчудум.
17	20	iii	Бо улус мени билир.
17	20	iv	Дагны тунельдеп эртер бис.
17	20	v	Света келзе, мени удавас чедип келир деп дамчыдыңар
17	20	vi	Ээ, мээң оглумнуң эрезин!
17	20	vii	Башкы өөренчилерни номчудуп каапкан.
18	21	i	Мен кадайым-биле киноже чорук баар мен.
18	21	ii	Даарта мен Кызылже азы Абаканче чоруур мен.
18	21	iii	Ол кижи картинаже ам-даа көрбүшаан.
18	21	iv	Өөреникчи чорукче көргеш харыылаан. 
18	21	vi	Бора тейниң кырындыва үне халды бергеш харап көрүп олурарга, хем аксында ыш буруңайнып туруп-тур.
18	22	i	Мен ол кижиге ном бердим. 
18	22	i	Мен аътка сиген бердим. 
18	22	ii	Башкы номну өөреникчилерге номчуткан.
19	22	ii	Ачамга тоол чугааладып алыйн. 
19	22	iii	Акымга эттедип алдым. 
19	22	iv	Авам бажыңда. 
19	22	iv	Авам бажыңга турган. 
19	22	iv	Авам бажыңга турар. 
19	22	v	Бажыңга четкелек чорумда чаъс чаап келди. 
19	22	vi	Биске билдингир эвес. 
19	22	vii	Меңээ ном херек. 
19	22	viii	Бистиң суурувус силерге тааржы бээрге, меңээ өөрүнчүг болду.
19	22	ix	Ол бажың кылырынга салымныг. 
19	22	x	Мен кышка ынак эвес мен. 
19	22	xi	Ийиге ийи дең. 
19	22	xi	Ийиге үш дең эвес. 
19	22	xiii	Биске тарылга шөлү чок турган.
20	23	iv	Дайынның чүге эгелээнин билбес мен. 
20	23	v	Бистиң дүүн чораан черивис чараш болду. 
20	23	vi	Силерниң-биле сүмележир-дир мен.
20	25	i	Мен Кызылда чурттап тур мен.
21	25	ii	Мен бир муң тос чүс дөртен чылда февральдың чээрбиде Кызыл хоорайга төрүттүнген мен.
21	25	iii	Мергенде солун номнар бар. 
21	25	iv	Мээң үш акым чок.
21	25	iv	Менде үш ном бар.
21	26	i	Ийи хонганда Бадый акымдан айтырдым.
21	26	ii	А актар-биле кызылдарның ылаңгыя оларның Тывада келгениниң дугайында чугаалаар чонну кичээндирипкен.
21	26	iii	Гоша-биле Генаны ийилдирзин кыйгырып эккел.
21	27	i	Чоннуң ылаңгыя улузумнуң чурттап турарын-даа билдим.
21	28	i	Номну номчааш, ол кижиниң чуртталгазын шуптузун билип алдым.
23	34	i	Бо ном Марияныы. 
23	34	i	Мерген Чечекмааныын көрген.
23	34	ii	Мен үш оолдуг мен.
24	34	iii	Ол бистиинче хүннүг келир чүве.
24	35	i	Ыдым чок, мен диистиг мен. 
24	35	i	Мен беш аъттыг мен. 
24	35	ii	Бичии пионер, сумкалыг бир холунда, мойнунда галстуктуг.
25	41	i	Мен ол кижиге ном бердим.
25	41	i	Олар ол кижини көрдү.
25	41	ii	Ол улус чедип кээр.
25	41	iii	Мен оон чагаа алган мен.
25	41	iii	Мен оон чагаа алдым.
26	41	iv	Ол улустар ойнап эгелей берген. 
26	41	iv	Бистер ам-даа келбедивис.
26	42	i	Оомга барып хонуп алыр мен.
27	43	i	Мен бо мында ажылдап турар мен.
27	44	i	Кайнаар баарың ол?
27	45	i	Бодум Кызылда чурттап турар мен.
27	45	ii	Боду амыдырал дугайында чугаалаан.
27	45	iii	Бодуң кадыың бодуң холуңда. 
27	45	iv	Бодум билбес мен. 
27	45	v	Кижи бүрүзү бодун бай деп санаар. 
27	45	vi	Келген аалчыга бодунуң хөлзээшкинин билдиртпес дээш хөлчок кыскан. 
27	45	vii	Боду келир ужун бижик ытпады.
28	47	i	Сен кым-дыр сен деп диди.
28	47	ii	Шак каш-тыр?
28	47	ii	Кайыын келген силер?
28	47	iii	Сен каш харлыг сен?
28	47	iii	Бажың кайы хире улуг?
28	47	iv	Каяа чордуң?
28	47	iv	Кайнаар баарың ол?
29	49	i	Чок, чүгле сүдүңнүң чамдыызын ижейн. 
29	49	ii	Төрелдерим чамдыызы келди бе? 
29	49	iii	Бир кижи келди. 
29	49	iii	Бир-ле кижи келди. 
29	49	iv	Чамдык кижилер чорай берди.
29	49	iv	Улус келди. 
29	49	v	Бир-ле катап бир кижи чугаалаан.
29	50	i	Кым-даа ону билир. 
29	50	i	Кым-даа келбээн. 
29	50	ii	Чаңгызы-даа келбеди. 
29	50	ii	Кайнаар-даа барбас мен.
30	53	i	Бөлүк-бөлүк чыскаалдар кудумчу бүрүзүнден кээп тургулаан.
30	54	i	Сүдүм шуптузун ижер сен бе?
30	54	ii	Башкывыс бистиң шуптувуска ынак.
30	54	iii	Оларның шуптузундан харыы алдывыс.
31	56	i	Номну номчааш, ол кижиниң чуртталгазын шуптузун билип алдым.
31	56	ii	Оларның шуптузун таныыр мен.
31	57	i	Ийи ажылчын ажылдап турганнар.
31	58	i	Бис иелээн баар бис.
32	61	iii	Даштында хөй ыяштарлыг бажыңда бичии уруглар сады кылып каан.
33	63	i	Мен Кызылдагыларын көрдүм.
34	67	i	Ол орукту дыка эки билир.
34	67	i	Ол дораан келди.
34	68	i	Машинавыс бир-ле ажылдап тур, бир-ле ажылдавас.
36	73	i	Колхозуңар дугайын меңээ чугаалап бериңер
